NA,NA,NA,NA,2,NA,NA,NA,17,37,NA,NA,1,NA,NA,NA,NA,13,22,NA,NA,85,NA,NA,NA,NA,NA,NA
NA,2,NA,NA,11,NA,NA,NA,35,13,NA,NA,2,NA,NA,NA,NA,4,5,NA,NA,39,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,7,NA,NA,NA,NA,NA,NA,NA,3,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,20,NA,NA,NA,NA,NA,NA,NA,0,NA,4
NA,NA,NA,NA,49,NA,NA,NA,64,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,83,64,NA,NA,4,4,7,NA
NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,15,NA,NA,NA,63,76,NA,NA,3,NA,15,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,3,NA,NA,0,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,5,NA,NA,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,12,NA,NA,25,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,70,NA,14,87,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,102,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,41,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,29,NA,NA,NA,71,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,15,NA,NA,34,7,NA,NA,46,31,NA,NA,0,0,NA,NA,NA,1,2,NA,0,0,NA,NA,NA,0,NA,NA
49,40,NA,NA,54,NA,NA,NA,116,130,NA,NA,1,0,NA,NA,NA,0,0,NA,2,2,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,2,0,NA,1,0,NA,NA,NA,0,NA,NA
20,21,NA,NA,31,NA,NA,NA,43,NA,NA,NA,NA,0,6,NA,0,NA,0,NA,NA,4,4,NA,0,NA,3,NA
20,21,NA,NA,19,NA,NA,NA,30,NA,NA,NA,NA,2,2,NA,0,NA,0,NA,NA,6,3,NA,0,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,22,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,78,60,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,34,NA,NA,NA,16,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15,NA,23,26,23,NA,15,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,NA,36,21,36,NA,16,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,19,7,NA,NA,14,62,NA,NA,NA,NA,NA,NA,NA,73,90,NA,29,20,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,11,NA,NA,13,17,NA,NA,NA,NA,NA,NA,NA,25,19,NA,2,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,0,0,NA,NA,NA,6,0,NA,NA,23,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,7,0,NA,NA,9,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,10,NA,NA,5,NA,NA,NA,0,0,NA,NA,NA,26,1,NA,NA,13,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,26,NA,NA,NA,14,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,20,12,20,NA,NA,NA,4,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,16,2,16,NA,NA,NA,44,NA,NA,NA,NA,NA
NA,NA,NA,NA,21,10,NA,NA,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
